onsetTime,thisImage,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,startMouse.started,startMouse.stopped,targetImage.started,targetImage.stopped,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,text_fb.started,text_fb.stopped,moveOnKeys.keys,moveOnKeys.started,moveOnKeys.stopped,moveOnMouse.started,moveOnMouse.stopped,key_resp.keys,key_resp.started,key_resp.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0.00705892825499177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_square.jpg,0,0,0,2,,,,,,,15.194254599977285,15.393288900144398,None,0,0.03375,-0.24,1,0,0,2.5101990001276135,square_button,1,1.0101990001276135,16.231169800041243,None,None,16.231169800041243,None,0.004877139814198017,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_square.jpg,0,1,1,5,,,,,,,20.294455100083724,20.49408570001833,None,0,0.165,-0.23875,1,0,0,2.1922145998105407,plus_button,0,1.0922145998105406,21.3961041001603,None,None,21.3961041001603,None,0.0016520698554813862,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_plus.jpg,0,2,2,1,,,,,,,25.495080000022426,25.69488160009496,None,0,-0.21,-0.2425,1,0,0,1.8453108998946846,cross_button,0,0.5453108998946845,26.062306000152603,None,None,26.062306000152603,None,0.0027756700292229652,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_plus.jpg,0,3,3,7,,,,,,,28.795848699985072,28.995859700022265,None,0,0.18,-0.2375,1,0,0,2.2746224999427795,plus_button,1,1.1746224999427795,29.98039839998819,None,None,29.98039839998819,None,0.0014298702590167522,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_plus.jpg,0,4,4,4,,,,,,,33.56247590016574,33.76219979999587,None,0,0.18,-0.2375,1,0,0,2.125032600015402,plus_button,1,0.6250326000154018,34.200776000041515,None,None,34.200776000041515,None,0.015348339919000864,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_square.jpg,0,5,5,8,,,,,,,36.34608150017448,36.545829500071704,None,0,0.045,-0.24375,1,0,0,2.174605500185862,square_button,1,0.8746055001858621,37.230678300140426,None,None,37.230678300140426,None,0.002347070025280118,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_cross.jpg,0,6,6,6,,,,,,,40.29652480012737,40.49639330012724,None,0,-0.1925,-0.2475,1,0,0,2.4249607000965625,cross_button,1,0.9249607000965625,41.22905610012822,None,None,41.22905610012822,None,0.004142970312386751,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_cross.jpg,0,7,7,3,,,,,,,43.66396510018967,43.863455299986526,None,0,-0.19375,-0.2475,1,0,0,1.974344199988991,cross_button,1,0.674344199988991,44.3488361001946,None,None,44.3488361001946,None,0.0016371698584407568,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_cross.jpg,0,8,8,0,,,,,,,46.26377149997279,46.46348490007222,None,0,-0.19375,-0.2475,1,0,0,1.7395252999849617,cross_button,1,0.6395252999849617,46.91755330003798,None,None,46.91755330003798,None,5.986983887851238e-05,None,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,48.11322880000807,None,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075,-0.24875,1,0,0,0.011258170241490006,None,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_cross.jpg,,,,,0,0,0,0,,,51.14807320013642,51.347335800062865,None,0,0.0075,-0.24875,1,0,0,1.6383434000890702,square_button,0,0.5383434000890701,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_square.jpg,,,,,0,1,1,5,,,52.83125450019725,53.030812200158834,None,0,0.25125,-0.2575,1,0,0,2.0397609998472035,plus_button,0,0.9397609998472034,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_plus.jpg,,,,,0,2,2,4,,,55.29817850003019,55.49792019999586,None,0,-0.17625,-0.24625,1,0,0,2.211792499991134,cross_button,0,0.7117924999911338,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_square.jpg,,,,,0,3,3,2,,,57.56503240019083,57.764599499991164,None,0,-0.065,-0.24625,1,0,0,2.358128499938175,square_button,1,0.8581284999381751,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_cross.jpg,,,,,0,4,4,6,,,59.96571999997832,60.164900599978864,None,0,-0.17,-0.24875,1,0,0,2.2584903000388294,cross_button,1,0.7584903000388294,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_cross.jpg,,,,,0,5,5,3,,,62.06550390017219,62.26511869998649,None,0,-0.18875,-0.24625,1,0,0,2.007559899939224,cross_button,1,0.7075598999392241,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_plus.jpg,,,,,0,6,6,1,,,64.11572730005719,64.31529409997165,None,0,0.3025,-0.27,1,0,0,2.493935599923134,plus_button,1,1.1939355999231338,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_plus.jpg,,,,,0,7,7,7,,,66.44929360016249,66.6488559001591,None,0,0.28,-0.27,1,0,0,1.7928841998800635,plus_button,1,0.6928841998800634,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_square.jpg,,,,,0,8,8,8,,,68.482574300142,68.68230490013957,None,0,0.0125,-0.2625,1,0,0,2.173144100001082,square_button,1,0.8731441000010818,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_cross.jpg,,,,,1,0,9,6,,,70.90008430019952,71.09944730019197,None,0,-0.14,-0.2525,1,0,0,2.2914195999037474,cross_button,1,0.7914195999037474,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_plus.jpg,,,,,1,1,10,1,,,73.45033580018207,73.649723400129,None,0,0.1625,-0.25375,1,0,0,2.2751716000493616,plus_button,1,0.9751716000493615,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_square.jpg,,,,,1,2,11,5,,,75.56684820004739,75.76710689999163,None,0,0.01875,-0.25375,1,0,0,1.8925354999955744,square_button,1,0.7925354999955743,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_cross.jpg,,,,,1,3,12,0,,,77.50070360000245,77.69995980011299,None,0,-0.1425,-0.2475,1,0,0,2.025173499947414,cross_button,1,0.9251734999474137,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_square.jpg,,,,,1,4,13,2,,,80.33395240013488,80.53353630006313,None,0,-0.01625,-0.24375,1,0,0,2.2746007000096142,square_button,1,0.7746007000096142,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_square.jpg,,,,,1,5,14,8,,,82.45106410002336,82.65054830000736,None,0,0.17,-0.2425,1,0,0,2.274075400084257,plus_button,0,0.9740754000842571,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.3,images/target_cross.jpg,,,,,1,6,15,3,,,84.76819430012256,84.96764440019615,None,0,-0.35375,-0.25625,1,0,0,2.2900494001805782,cross_button,1,0.9900494001805782,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.5,images/target_plus.jpg,,,,,1,7,16,4,,,87.95152110001072,88.15119690005668,None,0,0.2275,-0.245,1,0,0,2.3760673999786377,plus_button,1,0.8760673999786377,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
1.1,images/target_plus.jpg,,,,,1,8,17,7,,,89.96847840002738,90.16801710007712,None,0,0.21375,-0.245,1,0,0,1.8412556999828666,plus_button,1,0.7412556999828666,,,,,,,,,,,,,,,,,,,001,2022_Jan_07_1928,choiceRTT,2021.2.3,59.98048235604257,
