keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,5.0342,,,,,,,,3.7342,space,10.8336,0,0,0,1,1,1.3,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,,,,,,,,,,,,
,0,,0.015625,-0.231770833,1,0,0,8.5657,square_button,7.2657,,,0,1,1,3,1,1.3,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,0,,,,,,,,,,,
,0,,0.223958333,-0.247395833,1,0,0,2.599,plus_button,1.499,,,0,2,2,7,1,1.1,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,,,,,
,0,,-0.229166667,-0.259114583,1,0,0,2.4509,cross_button,1.3509,,,0,3,3,5,1,1.1,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,0,,,,,,,,,,,
,0,,-0.018229167,-0.272135417,1,0,0,3.1354,square_button,2.0354,,,0,4,4,0,1,1.1,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,0,,,,,,,,,,,
,0,,0.23828125,-0.263020833,1,0,0,2.8497,plus_button,1.3497,,,0,5,5,4,1,1.5,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,,,,,
,0,,-0.240885417,-0.260416667,1,0,0,3.2997,cross_button,1.7997,,,0,6,6,6,1,1.5,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,,,,,
,0,,-0.010416667,-0.26171875,1,0,0,2.3831,square_button,1.0831,,,0,7,7,8,1,1.3,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,,,,,
,0,,-0.024739583,-0.229166667,1,0,0,2.4086,square_button,0.9086,,,0,8,8,2,1,1.5,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,,,,,
,0,,0.21484375,-0.239583333,1,0,0,2.7043,plus_button,1.2043,,,,,,,,1.5,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,-0.005208333,-0.225260417,1,0,0,0,0,0,4,1
,0,,0.220052083,-0.2578125,1,0,0,2.6946,plus_button,1.5946,,,,,,,,1.1,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,1,1,7,1
,0,,-0.233072917,-0.240885417,1,0,0,2.9271,cross_button,1.4271,,,,,,,,1.5,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,2,2,6,1
,0,,-0.2421875,-0.270833333,1,0,0,3.3834,cross_button,2.0834,,,,,,,,1.3,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,3,3,3,1
,0,,0.229166667,-0.23046875,1,0,0,2.6009,plus_button,1.3009,,,,,,,,1.3,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,4,4,1,1
,0,,-0.0078125,-0.247395833,1,0,0,2.3942,square_button,0.8942,,,,,,,,1.5,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,5,5,2,1
,0,,0.266927083,-0.255208333,1,0,0,2.6464,plus_button,1.5464,,,,,,,,1.1,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,0,,,,,,,0,6,6,0,1
,0,,0.002604167,-0.23828125,1,0,0,2.5475,square_button,1.2475,,,,,,,,1.3,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,7,7,8,1
,0,,0.005208333,-0.231770833,1,0,0,2.1517,square_button,1.0517,,,,,,,,1.1,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,0,8,8,5,1
,0,,-0.036458333,-0.243489583,1,0,0,2.1807,square_button,0.8807,,,,,,,,1.3,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,0,9,8,1
,0,,0.239583333,-0.248697917,1,0,0,2.247,plus_button,1.147,,,,,,,,1.1,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,1,10,7,1
,0,,-0.033854167,-0.26953125,1,0,0,2.434,square_button,0.934,,,,,,,,1.5,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,2,11,2,1
,0,,0.244791667,-0.252604167,1,0,0,2.3109,plus_button,1.0109,,,,,,,,1.3,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,3,12,1,1
,0,,0.240885417,-0.233072917,1,0,0,2.3272,plus_button,0.8272,,,,,,,,1.5,images/target_plus.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,4,13,4,1
,0,,0,-0.270833333,1,0,0,2.0619,square_button,0.9619,,,,,,,,1.1,images/target_square.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,5,14,5,1
,0,,0.240885417,-0.252604167,1,0,0,2.1323,plus_button,0.8323,,,,,,,,1.3,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,0,,,,,,,1,6,15,3,1
,0,,-0.225260417,-0.278645833,1,0,0,2.7778,cross_button,1.2778,,,,,,,,1.5,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,7,16,6,1
,0,,-0.201822917,-0.251302083,1,0,0,1.6801,cross_button,0.5801,,,,,,,,1.1,images/target_cross.jpg,r,001,2022-04-01_13h21.21.335,choiceRTT,2021.2.3,Win32,60.04563468,1,,,,,,,1,8,17,0,1
